Date,Channel Name,Total Views,Total Subscribers
2025-03-01,Public News,1146812096,3240000
2025-03-01,24 News hd,3827040854,8570000
2025-03-01,Bol News,3869442355,7730000
2025-03-01,Hum News,454538698,1610000
2025-03-01,Neo news,683739229,2230000
2025-03-02,Geo Entertainment,1419182140,3590000
2025-03-02,Geo News,9327900344,17700000
2025-03-02,Samma Entertainment,89693728,166000
2025-03-02,Samma News,6076149324,12400000
2025-03-02,Dawn news,701007857,1900000
2025-03-02,Express News,1555548321,4670000
2025-03-02,ARY News,8770797292,14500000
2025-03-02,ARY Digital,61677680652,61500000
2025-03-02,Duniya News,4862131652,8640000
2025-03-02,Aaj News,433165243,1450000
2025-03-02,92 News,1950224167,5660000
2025-03-02,GNN News,1679359949,3460000
2025-03-02,Public News,1147604157,3240000
2025-03-02,24 News hd,3827835515,8570000
2025-03-02,Bol News,3870533427,7740000
2025-03-02,Hum News,454868293,1610000
2025-03-02,Neo news,683809679,2230000
2025-03-03,Geo Entertainment,1419526419,3590000
2025-03-03,Geo News,9332927524,17700000
2025-03-03,Samma Entertainment,89709737,166000
2025-03-03,Samma News,6079714153,12400000
2025-03-03,Dawn news,701312003,1900000
2025-03-03,Express News,1556748875,4670000
2025-03-03,ARY News,8772709425,14500000
2025-03-03,ARY Digital,61704449517,61500000
2025-03-03,Duniya News,4863149828,8640000
2025-03-03,Aaj News,433614069,1450000
2025-03-03,92 News,1950799339,5660000
2025-03-03,GNN News,1680003290,3460000
2025-03-03,Public News,1148107762,3240000
2025-03-03,24 News hd,3828795750,8570000
2025-03-03,Bol News,3871254031,7740000
2025-03-03,Hum News,455140942,1610000
2025-03-03,Neo news,683874321,2230000
2025-03-04,Geo Entertainment,1419936832,3590000
2025-03-04,Geo News,9338131234,17800000
2025-03-04,Samma Entertainment,89731341,166000
2025-03-04,Samma News,6083763736,12400000
2025-03-04,Dawn news,701608834,1900000
2025-03-04,Express News,1557915996,4680000
2025-03-04,ARY News,8774776125,14500000
2025-03-04,ARY Digital,61734885230,61500000
2025-03-04,Duniya News,4864439621,8650000
2025-03-04,Aaj News,434066153,1460000
2025-03-04,92 News,1951487177,5660000
2025-03-04,GNN News,1680745818,3460000
2025-03-04,Public News,1148587434,3240000
2025-03-04,24 News hd,3829588204,8570000
2025-03-04,Bol News,3872477489,7740000
2025-03-04,Hum News,455381969,1610000
2025-03-04,Neo news,683940609,2230000
2025-03-05,Geo Entertainment,1419936832,3590000
2025-03-05,Geo News,9338131234,17800000
2025-03-05,Samma Entertainment,89731341,166000
2025-03-05,Samma News,6083763736,12400000
2025-03-05,Dawn news,701608834,1900000
2025-03-05,Express News,1557915996,4680000
2025-03-05,ARY News,8774776125,14500000
2025-03-05,ARY Digital,61734885230,61500000
2025-03-05,Duniya News,4864439621,8650000
2025-03-05,Aaj News,434066153,1460000
2025-03-05,92 News,1951487177,5660000
2025-03-05,GNN News,1680745818,3460000
2025-03-05,Public News,1148587434,3240000
2025-03-05,24 News hd,3829588204,8570000
2025-03-05,Bol News,3872477489,7740000
2025-03-05,Hum News,455381969,1610000
2025-03-05,Neo news,683940609,2230000
2025-03-06,Geo Entertainment,1419936832,3600000
2025-03-06,Geo News,9338131234,17800000
2025-03-06,Samma Entertainment,89731341,166000
2025-03-06,Samma News,6083763736,12400000
2025-03-06,Dawn news,701608834,1900000
2025-03-06,Express News,1557915996,4680000
2025-03-06,ARY News,8774776125,14500000
2025-03-06,ARY Digital,61734885230,61600000
2025-03-06,Duniya News,4864439621,8650000
2025-03-06,Aaj News,434066153,1460000
2025-03-06,92 News,1951487177,5660000
2025-03-06,GNN News,1680745818,3460000
2025-03-06,Public News,1148587434,3240000
2025-03-06,24 News hd,3829588204,8570000
2025-03-06,Bol News,3872477489,7740000
2025-03-06,Hum News,455381969,1610000
2025-03-06,Neo news,683940609,2230000
2025-03-07,Geo Entertainment,1419936832,3600000
2025-03-07,Geo News,9338131234,17800000
2025-03-07,Samma Entertainment,89731341,166000
2025-03-07,Samma News,6083763736,12400000
2025-03-07,Dawn news,701608834,1900000
2025-03-07,Express News,1557915996,4680000
2025-03-07,ARY News,8774776125,14500000
2025-03-07,ARY Digital,61734885230,61600000
2025-03-07,Duniya News,4864439621,8650000
2025-03-07,Aaj News,434066153,1460000
2025-03-07,92 News,1951487177,5660000
2025-03-07,GNN News,1680745818,3460000
2025-03-07,Public News,1148587434,3240000
2025-03-07,24 News hd,3829588204,8580000
2025-03-07,Bol News,3872477489,7740000
2025-03-07,Hum News,455381969,1610000
2025-03-07,Neo news,683940609,2230000
2025-03-08,Geo Entertainment,1419936832,3600000
2025-03-08,Geo News,9338131234,17800000
2025-03-08,Samma Entertainment,89731341,166000
2025-03-08,Samma News,6083763736,12400000
2025-03-08,Dawn news,701608834,1900000
2025-03-08,Express News,1557915996,4680000
2025-03-08,ARY News,8774776125,14500000
2025-03-08,ARY Digital,61734885230,61600000
2025-03-08,Duniya News,4864439621,8650000
2025-03-08,Aaj News,434066153,1460000
2025-03-08,92 News,1951487177,5660000
2025-03-08,GNN News,1680745818,3460000
2025-03-08,Public News,1148587434,3240000
2025-03-08,24 News hd,3829588204,8580000
2025-03-08,Bol News,3872477489,7740000
2025-03-08,Hum News,455381969,1610000
2025-03-08,Neo news,683940609,2230000
2025-03-09,Geo Entertainment,1419936832,3600000
2025-03-09,Geo News,9338131234,17800000
2025-03-09,Samma Entertainment,89731341,166000
2025-03-09,Samma News,6083763736,12400000
2025-03-09,Dawn news,701608834,1900000
2025-03-09,Express News,1557915996,4680000
2025-03-09,ARY News,8774776125,14500000
2025-03-09,ARY Digital,61734885230,61600000
2025-03-09,Duniya News,4864439621,8650000
2025-03-09,Aaj News,434066153,1460000
2025-03-09,92 News,1951487177,5660000
2025-03-09,GNN News,1680745818,3460000
2025-03-09,Public News,1148587434,3240000
2025-03-09,24 News hd,3829588204,8580000
2025-03-09,Bol News,3872477489,7740000
2025-03-09,Hum News,455381969,1610000
2025-03-09,Neo news,683940609,2230000
2025-03-10,Geo Entertainment,1419936832,3600000
2025-03-10,Geo News,9338131234,17800000
2025-03-10,Samma Entertainment,89731341,166000
2025-03-10,Samma News,6083763736,12400000
2025-03-10,Dawn news,701608834,1900000
2025-03-10,Express News,1557915996,4690000
2025-03-10,ARY News,8774776125,14500000
2025-03-10,ARY Digital,61734885230,61600000
2025-03-10,Duniya News,4864439621,8650000
2025-03-10,Aaj News,434066153,1460000
2025-03-10,92 News,1951487177,5660000
2025-03-10,GNN News,1680745818,3460000
2025-03-10,Public News,1148587434,3240000
2025-03-10,24 News hd,3829588204,8580000
2025-03-10,Bol News,3872477489,7740000
2025-03-10,Hum News,455381969,1610000
2025-03-10,Neo news,683940609,2230000
2025-03-11,Geo Entertainment,1419936832,3600000
2025-03-11,Geo News,9338131234,17800000
2025-03-11,Samma Entertainment,89731341,166000
2025-03-11,Samma News,6083763736,12400000
2025-03-11,Dawn news,701608834,1900000
2025-03-11,Express News,1557915996,4690000
2025-03-11,ARY News,8774776125,14500000
2025-03-11,ARY Digital,61734885230,61700000
2025-03-11,Duniya News,4864439621,8660000
2025-03-11,Aaj News,434066153,1460000
2025-03-11,92 News,1951487177,5660000
2025-03-11,GNN News,1680745818,3470000
2025-03-11,Public News,1148587434,3240000
2025-03-11,24 News hd,3829588204,8580000
2025-03-11,Bol News,3872477489,7740000
2025-03-11,Hum News,455381969,1610000
2025-03-11,Neo news,683940609,2230000
2025-03-12,Geo Entertainment,1419936832,3600000
2025-03-12,Geo News,9338131234,17800000
